unit,year,allocation
Spain,1870,Spanish Empire (1.00)
Spain,1880,Spanish Empire (1.00)
Spain,1890,Spanish Empire (1.00)
Spain,1900,Other (1.00)
Spain,1910,Other (1.00)
Spain,1920,Other (1.00)
Spain,1930,Other (1.00)
Spain,1940,Other (1.00)
Spain,1950,Other (1.00)
Spain,1960,Other (1.00)
Spain,1970,Other (1.00)
Spain,1980,Other (1.00)
Spain,1990,NATO + Aligned (1.00)
Spain,2000,NATO + Aligned (1.00)
Spain,2010,NATO + Aligned (1.00)
Spain,2020,NATO + Aligned (1.00)
United Kingdom,1750,British Empire (1.00)
United Kingdom,1760,British Empire (1.00)
United Kingdom,1770,British Empire (1.00)
United Kingdom,1780,British Empire (1.00)
United Kingdom,1790,British Empire (1.00)
United Kingdom,1800,British Empire (1.00)
United Kingdom,1810,British Empire (1.00)
United Kingdom,1820,British Empire (1.00)
United Kingdom,1830,British Empire (1.00)
United Kingdom,1840,British Empire (1.00)
United Kingdom,1850,British Empire (1.00)
United Kingdom,1860,British Empire (1.00)
United Kingdom,1870,British Empire (1.00)
United Kingdom,1880,British Empire (1.00)
United Kingdom,1890,British Empire (1.00)
United Kingdom,1900,British Empire (1.00)
United Kingdom,1910,British Empire (1.00)
United Kingdom,1920,British Empire (1.00)
United Kingdom,1930,British Empire (1.00)
United Kingdom,1940,British Empire (1.00)
United Kingdom,1950,UK (1.00)
United Kingdom,1960,UK (1.00)
United Kingdom,1970,UK (1.00)
United Kingdom,1980,UK (1.00)
United Kingdom,1990,UK (1.00)
United Kingdom,2000,UK (1.00)
United Kingdom,2010,UK (1.00)
United Kingdom,2020,UK (1.00)
United States,1750,US (1.00)
United States,1760,US (1.00)
United States,1770,US (1.00)
United States,1780,US (1.00)
United States,1790,US (1.00)
United States,1800,US (1.00)
United States,1810,US (1.00)
United States,1820,US (1.00)
United States,1830,US (1.00)
United States,1840,US (1.00)
United States,1850,US (1.00)
United States,1860,US (1.00)
United States,1870,US (1.00)
United States,1880,US (1.00)
United States,1890,US (1.00)
United States,1900,US (1.00)
United States,1910,US (1.00)
United States,1920,US (1.00)
United States,1930,US (1.00)
United States,1940,US (1.00)
United States,1950,US (1.00)
United States,1960,US (1.00)
United States,1970,US (1.00)
United States,1980,US (1.00)
United States,1990,US (1.00)
United States,2000,US (1.00)
United States,2010,US (1.00)
United States,2020,US (1.00)
