country,start_decade,end_decade,bloc,rule_type
Latvia,1950,2010,Other,default
Lebanon,1820,2010,Other,default
Lesotho,1950,2010,Other,default
Liberia,1950,2010,Other,default
Libya,1820,2010,Other,default
Lithuania,1950,2010,Other,default
Luxembourg,1950,2010,Other,default
Madagascar,1820,2010,Other,default
Malawi,1950,2010,Other,default
Malaysia,1820,2010,Other,default
Mali,1950,2010,Other,default
Malta,1950,2010,Other,default
Mauritania,1950,2010,Other,default
Mauritius,1950,2010,Other,default
Mexico,1750,2010,Other,default
Mongolia,1820,2010,Other,default
Montenegro,1950,2010,Other,default
Morocco,1820,2010,Other,default
Mozambique,1820,2010,Other,default
Myanmar,1820,2010,Other,default
Namibia,1950,2010,Other,default
Nepal,1820,2010,Other,default
Netherlands,1750,2010,Other,default
New Zealand,1820,2010,Other,default
Nicaragua,1820,2010,Other,default
Niger,1950,2010,Other,default
Nigeria,1950,2010,Other,default
Norway,1820,2010,Other,default
Oman,1820,2010,Other,default
Pakistan,1950,2010,Other,default
Panama,1850,2010,Other,default
Paraguay,1820,2010,Other,default
Peru,1750,2010,Other,default
Philippines,1820,2010,Other,default
Poland,1750,2010,Other,default
Portugal,1750,2010,Other,default
Puerto Rico,1820,2010,Other,default
Qatar,1950,2010,Other,default
Republic of Korea,1820,2010,Other,default
Republic of Moldova,1950,2010,Other,default
Romania,1820,2010,Other,default
Russian Federation,1950,2010,Other,default
Rwanda,1950,2010,Other,default
Saint Lucia,1950,2010,Other,default
Sao Tome and Principe,1950,2010,Other,default
Saudi Arabia,1820,2010,Other,default
Senegal,1950,2010,Other,default
Serbia,1950,2010,Other,default
Seychelles,1950,2010,Other,default
Sierra Leone,1950,2010,Other,default
Singapore,1820,2010,Other,default
Slovakia,1950,2010,Other,default
Slovenia,1950,2010,Other,default
South Africa,1750,2010,Other,default
Spain,1750,2010,Other,default
Sri Lanka,1820,2010,Other,default
State of Palestine,1820,2010,Other,default
Sudan (Former),1820,2010,Other,default
Swaziland,1950,2010,Other,default
Sweden,1750,2010,Other,default
Switzerland,1820,2010,Other,default
Syrian Arab Republic,1820,2010,Other,default
TFYR of Macedonia,1950,2010,Other,default
"Taiwan, Province of China",1820,2010,Other,default
Tajikistan,1950,2010,Other,default
Thailand,1820,2010,Other,default
Togo,1950,2010,Other,default
Trinidad and Tobago,1820,2010,Other,default
Tunisia,1820,2010,Other,default
Turkey,1750,2010,Other,default
Turkmenistan,1950,2010,Other,default
U.R. of Tanzania: Mainland,1950,2010,Other,default
Uganda,1950,2010,Other,default
Ukraine,1950,2010,Other,default
United Arab Emirates,1950,2010,Other,default
United Kingdom,1750,2010,Other,default
United States,1770,2010,Other,default
Uruguay,1800,2010,Other,default
Uzbekistan,1950,2010,Other,default
Venezuela (Bolivarian Republic of),1800,2010,Other,default
Viet Nam,1820,2010,Other,default
Yemen,1820,2010,Other,default
Zambia,1950,2010,Other,default
Zimbabwe,1950,2010,Other,default
Former USSR,1920,1990,USSR + Aligned,override
Former Yugoslavia,1820,2020,Other,override
United States,1750,2020,US,override
Japan,1750,1940,Japanese Empire,override
Japan,1950,2020,NATO + Aligned,override
United Kingdom,1750,1940,British Empire,override
United Kingdom,1950,2020,UK,override
France,1750,1940,French Empire,override
France,1950,2020,NATO + Aligned,override
China,1750,2020,China,override
Hong Kong,1820,1940,British Empire,override
Hong Kong,1950,1990,UK,override
Hong Kong,2000,2020,China,override
Puerto Rico,1750,1890,Spanish Empire,override
Puerto Rico,1900,2020,US,override
Republic of Korea,1950,2020,NATO + Aligned,override
D.P.R. of Korea,1950,2020,China,override
Lao People's DR,1970,1990,USSR + Aligned,override
Libya,1970,1990,USSR + Aligned,override
Ethiopia,1980,1990,USSR + Aligned,override
Mexico,1750,1820,Spanish Empire,override
