unit,year,allocation
Bolivia,1970,Other (1.00)
Bolivia,1980,Other (1.00)
Bolivia,1990,Other (1.00)
Bolivia,2000,Other (1.00)
Bolivia,2010,Other (1.00)
Bolivia,2020,Other (1.00)
Bulgaria,1750,Ottoman Empire (1.00)
Bulgaria,1760,Ottoman Empire (1.00)
Bulgaria,1770,Ottoman Empire (1.00)
Bulgaria,1780,Ottoman Empire (1.00)
Bulgaria,1790,Ottoman Empire (1.00)
Bulgaria,1800,Ottoman Empire (1.00)
Bulgaria,1810,Ottoman Empire (1.00)
Bulgaria,1820,Ottoman Empire (1.00)
Bulgaria,1830,Ottoman Empire (1.00)
Bulgaria,1840,Ottoman Empire (1.00)
Bulgaria,1850,Ottoman Empire (1.00)
Bulgaria,1860,Ottoman Empire (1.00)
Bulgaria,1870,Ottoman Empire (1.00)
Bulgaria,1880,Other (0.80) / Ottoman Empire (0.20)
Bulgaria,1890,Other (0.90) / Ottoman Empire (0.10)
Bulgaria,1900,Other (1.00)
Bulgaria,1910,Other (1.00)
Bulgaria,1920,Other (1.00)
Bulgaria,1930,Other (1.00)
Bulgaria,1940,Other (1.00)
Bulgaria,1950,Other (1.00)
Bulgaria,1960,Other (1.00)
Bulgaria,1970,Other (1.00)
Bulgaria,1980,Other (1.00)
Bulgaria,1990,Other (1.00)
Bulgaria,2000,Other (1.00)
Bulgaria,2010,Other (1.00)
Bulgaria,2020,Other (1.00)
Burkina Faso,1750,Other (1.00)
Burkina Faso,1760,Other (1.00)
Burkina Faso,1770,Other (1.00)
Burkina Faso,1780,Other (1.00)
Burkina Faso,1790,Other (1.00)
Burkina Faso,1800,Other (1.00)
Burkina Faso,1810,Other (1.00)
Burkina Faso,1820,Other (1.00)
Burkina Faso,1830,Other (1.00)
Burkina Faso,1840,Other (1.00)
Burkina Faso,1850,Other (1.00)
Burkina Faso,1860,Other (1.00)
Burkina Faso,1870,Other (1.00)
Burkina Faso,1880,Other (1.00)
Burkina Faso,1890,Other (1.00)
Burkina Faso,1900,French Empire (1.00)
Burkina Faso,1910,French Empire (1.00)
Burkina Faso,1920,French Empire (1.00)
Burkina Faso,1930,French Empire (1.00)
Burkina Faso,1940,French Empire (1.00)
Burkina Faso,1950,French Empire (1.00)
Burkina Faso,1960,French Empire (0.50) / Other (0.50)
Burkina Faso,1970,Other (1.00)
Burkina Faso,1980,Other (1.00)
Burkina Faso,1990,Other (1.00)
Burkina Faso,2000,Other (1.00)
Burkina Faso,2010,Other (1.00)
Burkina Faso,2020,Other (1.00)
Cambodia,1750,Other (1.00)
Cambodia,1760,Other (1.00)
Cambodia,1770,Other (1.00)
Cambodia,1780,Other (1.00)
Cambodia,1790,Other (1.00)
Cambodia,1800,Other (1.00)
Cambodia,1810,Other (1.00)
Cambodia,1820,Other (1.00)
Cambodia,1830,Other (1.00)
Cambodia,1840,Other (1.00)
Cambodia,1850,Other (1.00)
Cambodia,1860,Other (1.00)
Cambodia,1870,Other (1.00)
Cambodia,1880,Other (1.00)
Cambodia,1890,French Empire (1.00)
Cambodia,1900,French Empire (1.00)
Cambodia,1910,French Empire (1.00)
Cambodia,1920,French Empire (1.00)
Cambodia,1930,French Empire (1.00)
Cambodia,1940,French Empire (1.00)
Cambodia,1950,French Empire (1.00)
Cambodia,1960,Other (1.00)
Cambodia,1970,Other (1.00)
Cambodia,1980,Other (1.00)
Cambodia,1990,Other (1.00)
Cambodia,2000,Other (1.00)
Cambodia,2010,Other (1.00)
Cambodia,2020,Other (1.00)
Canada,1750,French Empire (1.00)
Canada,1760,French Empire (1.00)
Canada,1770,British Empire (1.00)
Canada,1780,British Empire (1.00)
Canada,1790,British Empire (1.00)
Canada,1800,British Empire (1.00)
Canada,1810,British Empire (1.00)
Canada,1820,British Empire (1.00)
Canada,1830,British Empire (1.00)
Canada,1840,British Empire (1.00)
Canada,1850,British Empire (1.00)
Canada,1860,British Empire (1.00)
Canada,1870,British Empire (1.00)
Canada,1880,British Empire (1.00)
Canada,1890,British Empire (1.00)
Canada,1900,British Empire (1.00)
Canada,1910,British Empire (1.00)
Canada,1920,British Empire (1.00)
Canada,1930,British Empire (1.00)
Canada,1940,British Empire (1.00)
Canada,1950,NATO + Aligned (1.00)
Canada,1960,NATO + Aligned (1.00)
Canada,1970,NATO + Aligned (1.00)
Canada,1980,NATO + Aligned (1.00)
Canada,1990,NATO + Aligned (1.00)
Canada,2000,NATO + Aligned (1.00)
Canada,2010,NATO + Aligned (1.00)
Canada,2020,NATO + Aligned (1.00)
Chile,1750,Spanish Empire (1.00)
Chile,1760,Spanish Empire (1.00)
Chile,1770,Spanish Empire (1.00)
Chile,1780,Spanish Empire (1.00)
Chile,1790,Spanish Empire (1.00)
Chile,1800,Spanish Empire (1.00)
Chile,1810,Spanish Empire (0.80) / Other (0.20)
Chile,1820,Other (0.60) / Spanish Empire (0.40)
Chile,1830,Other (1.00)
Chile,1840,Other (1.00)
Chile,1850,Other (1.00)
Chile,1860,Other (1.00)
Chile,1870,Other (1.00)
Chile,1880,Other (1.00)
Chile,1890,Other (1.00)
Chile,1900,Other (1.00)
Chile,1910,Other (1.00)
Chile,1920,Other (1.00)
Chile,1930,Other (1.00)
Chile,1940,Other (1.00)
Chile,1950,Other (1.00)
Chile,1960,Other (1.00)
Chile,1970,Other (1.00)
Chile,1980,Other (1.00)
Chile,1990,Other (1.00)
Chile,2000,Other (1.00)
Chile,2010,Other (1.00)
Chile,2020,Other (1.00)
Colombia,1750,Spanish Empire (1.00)
Colombia,1760,Spanish Empire (1.00)
Colombia,1770,Spanish Empire (1.00)
Colombia,1780,Spanish Empire (1.00)
Colombia,1790,Spanish Empire (1.00)
Colombia,1800,Spanish Empire (1.00)
Colombia,1810,Spanish Empire (0.80) / Other (0.20)
Colombia,1820,Other (0.60) / Spanish Empire (0.40)
Colombia,1830,Other (1.00)
Colombia,1840,Other (1.00)
Colombia,1850,Other (1.00)
Colombia,1860,Other (1.00)
Colombia,1870,Other (1.00)
Colombia,1880,Other (1.00)
Colombia,1890,Other (1.00)
Colombia,1900,Other (1.00)
Colombia,1910,Other (1.00)
Colombia,1920,Other (1.00)
Colombia,1930,Other (1.00)
Colombia,1940,Other (1.00)
Colombia,1950,Other (1.00)
Colombia,1960,Other (1.00)
Colombia,1970,Other (1.00)
Colombia,1980,Other (1.00)
Colombia,1990,Other (1.00)
Colombia,2000,Other (1.00)
Colombia,2010,Other (1.00)
Colombia,2020,Other (1.00)
Costa Rica,1750,Spanish Empire (1.00)
Costa Rica,1760,Spanish Empire (1.00)
Costa Rica,1770,Spanish Empire (1.00)
Costa Rica,1780,Spanish Empire (1.00)
Costa Rica,1790,Spanish Empire (1.00)
Costa Rica,1800,Spanish Empire (1.00)
Costa Rica,1810,Spanish Empire (0.80) / Other (0.20)
Costa Rica,1820,Other (0.60) / Spanish Empire (0.40)
Costa Rica,1830,Other (1.00)
Costa Rica,1840,Other (1.00)
Costa Rica,1850,Other (1.00)
Costa Rica,1860,Other (1.00)
Costa Rica,1870,Other (1.00)
Costa Rica,1880,Other (1.00)
Costa Rica,1890,Other (1.00)
Costa Rica,1900,Other (1.00)
Costa Rica,1910,Other (1.00)
Costa Rica,1920,Other (1.00)
Costa Rica,1930,Other (1.00)
Costa Rica,1940,Other (1.00)
Costa Rica,1950,Other (1.00)
Costa Rica,1960,Other (1.00)
Costa Rica,1970,Other (1.00)
Costa Rica,1980,Other (1.00)
Costa Rica,1990,Other (1.00)
Costa Rica,2000,Other (1.00)
Costa Rica,2010,Other (1.00)
Costa Rica,2020,Other (1.00)
Cote d'Ivoire,1750,Other (1.00)
Cote d'Ivoire,1760,Other (1.00)
Cote d'Ivoire,1770,Other (1.00)
Cote d'Ivoire,1780,Other (1.00)
Cote d'Ivoire,1790,Other (1.00)
Cote d'Ivoire,1800,Other (1.00)
Cote d'Ivoire,1810,Other (1.00)
Cote d'Ivoire,1820,Other (1.00)
Cote d'Ivoire,1830,Other (1.00)
Cote d'Ivoire,1840,Other (1.00)
Cote d'Ivoire,1850,Other (1.00)
Cote d'Ivoire,1860,Other (1.00)
Cote d'Ivoire,1870,Other (1.00)
Cote d'Ivoire,1880,Other (1.00)
Cote d'Ivoire,1890,Other (1.00)
Cote d'Ivoire,1900,French Empire (1.00)
Cote d'Ivoire,1910,French Empire (1.00)
Cote d'Ivoire,1920,French Empire (1.00)
Cote d'Ivoire,1930,French Empire (1.00)
Cote d'Ivoire,1940,French Empire (1.00)
Cote d'Ivoire,1950,French Empire (1.00)
Cote d'Ivoire,1960,French Empire (0.50) / Other (0.50)
Cote d'Ivoire,1970,Other (1.00)
Cote d'Ivoire,1980,Other (1.00)
Cote d'Ivoire,1990,Other (1.00)
Cote d'Ivoire,2000,Other (1.00)
Cote d'Ivoire,2010,Other (1.00)
Cote d'Ivoire,2020,Other (1.00)
Cuba,1750,Spanish Empire (1.00)
Cuba,1760,Spanish Empire (1.00)
Cuba,1770,Spanish Empire (1.00)
Cuba,1780,Spanish Empire (1.00)
Cuba,1790,Spanish Empire (1.00)
Cuba,1800,Spanish Empire (1.00)
Cuba,1810,Spanish Empire (1.00)
Cuba,1820,Spanish Empire (1.00)
Cuba,1830,Spanish Empire (1.00)
Cuba,1840,Spanish Empire (1.00)
Cuba,1850,Spanish Empire (1.00)
Cuba,1860,Spanish Empire (1.00)
Cuba,1870,Spanish Empire (1.00)
Cuba,1880,Spanish Empire (1.00)
Cuba,1890,Spanish Empire (1.00)
Cuba,1900,Other (1.00)
Cuba,1910,Other (1.00)
Cuba,1920,Other (1.00)
Cuba,1930,Other (1.00)
Cuba,1940,Other (1.00)
Cuba,1950,Other (1.00)
Cuba,1960,Other (1.00)
Cuba,1970,Other (1.00)
Cuba,1980,Other (1.00)
Cuba,1990,Other (1.00)
Cuba,2000,Other (1.00)
Cuba,2010,Other (1.00)
Cuba,2020,Other (1.00)
Czechia,1750,Other (1.00)
Czechia,1760,Other (1.00)
Czechia,1770,Other (1.00)
Czechia,1780,Other (1.00)
Czechia,1790,Other (1.00)
Czechia,1800,Other (1.00)
Czechia,1810,Other (1.00)
Czechia,1820,Other (1.00)
Czechia,1830,Other (1.00)
Czechia,1840,Other (1.00)
Czechia,1850,Other (1.00)
Czechia,1860,Other (1.00)
Czechia,1870,Other (1.00)
Czechia,1880,Other (1.00)
Czechia,1890,Other (1.00)
Czechia,1900,Other (1.00)
Czechia,1910,Other (1.00)
Czechia,1920,Other (1.00)
Czechia,1930,Other (1.00)
Czechia,1940,Other (1.00)
Czechia,1950,Other (1.00)
Czechia,1960,USSR + Aligned (1.00)
Czechia,1970,USSR + Aligned (1.00)
Czechia,1980,USSR + Aligned (1.00)
Czechia,1990,Other (1.00)
Czechia,2000,Other (1.00)
Czechia,2010,Other (1.00)
Czechia,2020,Other (1.00)
Denmark,1750,Other (1.00)
Denmark,1760,Other (1.00)
Denmark,1770,Other (1.00)
Denmark,1780,Other (1.00)
Denmark,1790,Other (1.00)
Denmark,1800,Other (1.00)
Denmark,1810,Other (1.00)
Denmark,1820,Other (1.00)
Denmark,1830,Other (1.00)
Denmark,1840,Other (1.00)
Denmark,1850,Other (1.00)
Denmark,1860,Other (1.00)
Denmark,1870,Other (1.00)
Denmark,1880,Other (1.00)
Denmark,1890,Other (1.00)
Denmark,1900,Other (1.00)
Denmark,1910,Other (1.00)
Denmark,1920,Other (1.00)
Denmark,1930,Other (1.00)
Denmark,1940,Other (1.00)
Denmark,1950,NATO + Aligned (1.00)
Denmark,1960,NATO + Aligned (1.00)
Denmark,1970,NATO + Aligned (1.00)
Denmark,1980,NATO + Aligned (1.00)
Denmark,1990,NATO + Aligned (1.00)
Denmark,2000,NATO + Aligned (1.00)
Denmark,2010,NATO + Aligned (1.00)
Denmark,2020,NATO + Aligned (1.00)
East Germany,1750,Other (1.00)
East Germany,1760,Other (1.00)
East Germany,1770,Other (1.00)
East Germany,1780,Other (1.00)
East Germany,1790,Other (1.00)
East Germany,1800,Other (1.00)
East Germany,1810,Other (1.00)
East Germany,1820,Other (1.00)
East Germany,1830,Other (1.00)
East Germany,1840,Other (1.00)
East Germany,1850,Other (1.00)
East Germany,1860,Other (1.00)
East Germany,1870,Other (1.00)
East Germany,1880,Other (1.00)
East Germany,1890,Other (1.00)
East Germany,1900,Other (1.00)
East Germany,1910,Other (1.00)
East Germany,1920,Other (1.00)
East Germany,1930,Other (1.00)
East Germany,1940,Other (1.00)
East Germany,1950,Other (1.00)
East Germany,1960,USSR + Aligned (1.00)
East Germany,1970,USSR + Aligned (1.00)
East Germany,1980,USSR + Aligned (1.00)
East Germany,1990,Other (1.00)
East Germany,2000,Other (1.00)
East Germany,2010,Other (1.00)
East Germany,2020,Other (1.00)
Ecuador,1750,Spanish Empire (1.00)
Ecuador,1760,Spanish Empire (1.00)
Ecuador,1770,Spanish Empire (1.00)
Ecuador,1780,Spanish Empire (1.00)
Ecuador,1790,Spanish Empire (1.00)
Ecuador,1800,Spanish Empire (1.00)
Ecuador,1810,Spanish Empire (0.80) / Other (0.20)
Ecuador,1820,Other (0.60) / Spanish Empire (0.40)
Ecuador,1830,Other (1.00)
Ecuador,1840,Other (1.00)
Ecuador,1850,Other (1.00)
Ecuador,1860,Other (1.00)
Ecuador,1870,Other (1.00)
Ecuador,1880,Other (1.00)
Ecuador,1890,Other (1.00)
Ecuador,1900,Other (1.00)
Ecuador,1910,Other (1.00)
Ecuador,1920,Other (1.00)
Ecuador,1930,Other (1.00)
Ecuador,1940,Other (1.00)
Ecuador,1950,Other (1.00)
Ecuador,1960,Other (1.00)
Ecuador,1970,Other (1.00)
Ecuador,1980,Other (1.00)
Ecuador,1990,Other (1.00)
Ecuador,2000,Other (1.00)
Ecuador,2010,Other (1.00)
Ecuador,2020,Other (1.00)
El Salvador,1750,Spanish Empire (1.00)
El Salvador,1760,Spanish Empire (1.00)
El Salvador,1770,Spanish Empire (1.00)
El Salvador,1780,Spanish Empire (1.00)
El Salvador,1790,Spanish Empire (1.00)
El Salvador,1800,Spanish Empire (1.00)
El Salvador,1810,Spanish Empire (0.80) / Other (0.20)
El Salvador,1820,Other (0.60) / Spanish Empire (0.40)
El Salvador,1830,Other (1.00)
El Salvador,1840,Other (1.00)
El Salvador,1850,Other (1.00)
El Salvador,1860,Other (1.00)
El Salvador,1870,Other (1.00)
El Salvador,1880,Other (1.00)
El Salvador,1890,Other (1.00)
El Salvador,1900,Other (1.00)
El Salvador,1910,Other (1.00)
El Salvador,1920,Other (1.00)
El Salvador,1930,Other (1.00)
El Salvador,1940,Other (1.00)
El Salvador,1950,Other (1.00)
El Salvador,1960,Other (1.00)
El Salvador,1970,Other (1.00)
El Salvador,1980,Other (1.00)
El Salvador,1990,Other (1.00)
El Salvador,2000,Other (1.00)
El Salvador,2010,Other (1.00)
El Salvador,2020,Other (1.00)
Estonia,1750,Other (1.00)
Estonia,1760,Other (1.00)
Estonia,1770,Other (1.00)
Estonia,1780,Other (1.00)
Estonia,1790,Other (1.00)
Estonia,1800,Other (1.00)
Estonia,1810,Other (1.00)
Estonia,1820,Other (1.00)
Estonia,1830,Other (1.00)
Estonia,1840,Other (1.00)
Estonia,1850,Other (1.00)
Estonia,1860,Other (1.00)
Estonia,1870,Other (1.00)
Estonia,1880,Other (1.00)
Estonia,1890,Other (1.00)
Estonia,1900,Other (1.00)
Estonia,1910,Other (1.00)
Estonia,1920,USSR + Aligned (1.00)
Estonia,1930,USSR + Aligned (1.00)
Estonia,1940,USSR + Aligned (1.00)
Estonia,1950,USSR + Aligned (1.00)
Estonia,1960,USSR + Aligned (1.00)
Estonia,1970,USSR + Aligned (1.00)
Estonia,1980,USSR + Aligned (1.00)
Estonia,1990,Other (0.50) / USSR + Aligned (0.50)
Estonia,2000,Other (1.00)
Estonia,2010,Other (1.00)
Estonia,2020,Other (1.00)
France,1750,Other (1.00)
France,1760,Other (1.00)
France,1770,Other (1.00)
France,1780,Other (1.00)
France,1790,Other (1.00)
France,1800,Other (1.00)
France,1810,Other (1.00)
France,1820,Other (1.00)
France,1830,Other (1.00)
France,1840,Other (1.00)
France,1850,Other (1.00)
France,1860,Other (1.00)
France,1870,Other (1.00)
France,1880,Other (1.00)
France,1890,Other (1.00)
France,1900,Other (1.00)
France,1910,Other (1.00)
France,1920,Other (1.00)
France,1930,Other (1.00)
France,1940,Other (1.00)
France,1950,NATO + Aligned (1.00)
France,1960,NATO + Aligned (1.00)
